Gene	sgRNA	D7_R1|beta	D7_R1|z	D7_R1|p-value	D7_R1|fdr	D7_R1|wald-p-value	D7_R1|wald-fdr	D7_R2|beta	D7_R2|z	D7_R2|p-value	D7_R2|fdr	D7_R2|wald-p-value	D7_R2|wald-fdr	PLX7_R1|beta	PLX7_R1|z	PLX7_R1|p-value	PLX7_R1|fdr	PLX7_R1|wald-p-value	PLX7_R1|wald-fdr	PLX7_R2|beta	PLX7_R2|z	PLX7_R2|p-value	PLX7_R2|fdr	PLX7_R2|wald-p-value	PLX7_R2|wald-fdr
NOX3	3	0.24609	2.2551	0.10058	0.71613	0.024124	0.061687	0.047766	0.43262	0.44679	0.92764	0.66529	0.77677	-0.019975	-0.18375	0.75882	0.98048	0.85421	0.90329	0.10398	0.91676	0.36332	0.9062	0.35927	0.50743
TXNDC2	4	0.15115	1.699	0.23023	0.85982	0.089329	0.17446	0.2523	2.8553	0.080751	0.69925	0.0043	0.015187	0.049012	0.5573	0.53411	0.94714	0.57732	0.69397	0.26402	2.9248	0.099994	0.73771	0.0034472	0.012914
ZCCHC10	3	-0.4223	-3.9265	0.24536	0.86485	8.62E-05	0.00049763	-0.36282	-3.3989	0.31848	0.88898	0.00067669	0.0031137	-0.46754	-4.4471	0.1645	0.82196	8.71E-06	6.47E-05	-0.42356	-3.8004	0.20923	0.83878	0.00014447	0.00087712
ABCG1	6	-0.13444	-2.1267	0.91219	0.99475	0.033448	0.079889	-0.16049	-2.5388	0.83278	0.98512	0.011124	0.033443	-0.18255	-2.9119	0.70391	0.9773	0.0035924	0.012248	-0.045131	-0.7069	0.82841	0.98961	0.47963	0.62339
ATP5F1	2	-0.5748	-4.2688	0.10652	0.72897	1.96E-05	0.00013271	-0.35524	-2.6965	0.33194	0.89422	0.0070075	0.022884	-0.16494	-1.2948	0.75674	0.98048	0.19539	0.31226	-0.33772	-2.4803	0.33532	0.89421	0.013126	0.039165
SGPL1	4	-0.47107	-5.0558	0.18944	0.83059	4.29E-07	4.05E-06	-0.2839	-3.1036	0.4789	0.93663	0.0019121	0.0076428	-0.17123	-1.9246	0.73769	0.97851	0.05428	0.11425	-0.29601	-3.1226	0.41634	0.92308	0.0017924	0.0074375
B9D2	4	0.36716	3.626	0.031219	0.5295	0.00028789	0.0014304	0.29374	2.8915	0.053126	0.61447	0.0038342	0.013813	0.26821	2.6869	0.11084	0.7668	0.0072112	0.022002	0.21802	2.0651	0.15002	0.79847	0.038912	0.093362
RNF175	3	0.041985	0.41149	0.49508	0.94316	0.68071	0.7823	-0.17455	-1.6897	0.78682	0.98188	0.091083	0.18134	-0.09612	-0.952	0.98001	0.99912	0.34109	0.47517	-0.069895	-0.66211	0.91571	0.99689	0.5079	0.64813
PALMD	3	0.050001	0.39333	0.47142	0.93916	0.69408	0.79264	-0.25778	-1.9682	0.54392	0.94786	0.049047	0.11113	-0.073433	-0.58812	0.94312	0.9959	0.55645	0.67609	-0.24887	-1.8082	0.52682	0.94885	0.070575	0.14953
PLA2G4D	4	-0.056781	-0.6174	0.82285	0.98892	0.53697	0.66592	-0.095667	-1.0394	0.93937	0.99413	0.29864	0.44152	-0.079875	-0.88536	0.96487	0.99837	0.37597	0.51104	0.013075	0.13905	0.62671	0.96488	0.88941	0.93138
PARD3B	5	-0.1417	-2.0144	0.88828	0.99461	0.043966	0.099513	-0.18148	-2.5787	0.76427	0.97925	0.0099159	0.030409	-0.12601	-1.8117	0.88141	0.98983	0.070032	0.1398	-0.092533	-1.2985	0.99256	0.99991	0.19411	0.32144
PIAS3	5	-0.29639	-3.6865	0.46061	0.9387	0.00022739	0.0011684	-0.33422	-4.1536	0.37124	0.90946	3.27E-05	0.00021844	-0.34949	-4.4306	0.31571	0.89574	9.40E-06	6.92E-05	-0.25643	-3.1042	0.5065	0.94372	0.001908	0.0078454
TFF2	4	0.26722	2.9824	0.082554	0.69354	0.0028604	0.010395	0.26596	2.9724	0.070555	0.67049	0.002955	0.011048	0.39075	4.4497	0.038062	0.60769	8.60E-06	6.40E-05	0.29843	3.267	0.07346	0.69739	0.001087	0.004884
TMEM48	6	-0.08142	-0.96088	0.90815	0.99475	0.33661	0.47799	-0.12888	-1.5183	0.94056	0.99439	0.12894	0.2359	0.023982	0.29242	0.61118	0.96647	0.76997	0.84531	-0.1111	-1.2622	0.94399	0.9985	0.20687	0.3375
RANBP3	5	-0.30164	-3.566	0.44926	0.9387	0.00036242	0.0017483	-0.27766	-3.2958	0.49363	0.94096	0.00098151	0.0042849	-0.08695	-1.0655	0.98921	0.99918	0.28667	0.4173	-0.21891	-2.5282	0.60696	0.96178	0.011466	0.035026
OSCAR	6	0.089849	1.3703	0.36443	0.91339	0.17058	0.28784	0.053116	0.8098	0.43135	0.92623	0.41805	0.56371	0.1122	1.7307	0.36375	0.90718	0.083498	0.16113	0.1526	2.2993	0.25488	0.85914	0.021489	0.05827
GJD4	4	0.076693	0.72892	0.39743	0.92957	0.46605	0.60331	0.02524	0.23937	0.51507	0.9436	0.81082	0.88204	0.0040665	0.039448	0.67659	0.97465	0.96853	0.97967	-0.038137	-0.34493	0.80359	0.98786	0.73014	0.82293
CALM3	2	-0.13617	-1.0566	0.90622	0.99475	0.29071	0.42922	0.090309	0.71271	0.3312	0.89419	0.47602	0.61673	-0.010063	-0.080292	0.72525	0.97775	0.93601	0.95879	0.12798	0.98648	0.30608	0.88148	0.3239	0.47068
MSH2	5	-0.47555	-5.269	0.18484	0.82517	1.37E-07	1.43E-06	-0.24158	-2.7491	0.58644	0.95479	0.0059757	0.019943	-0.35918	-4.152	0.29982	0.88983	3.30E-05	0.00021014	-0.33383	-3.6063	0.34233	0.89869	0.00031056	0.0016937
ANKRD30A	3	-0.65937	-6.1703	0.066364	0.6606	6.82E-10	1.02E-08	-0.54444	-5.1629	0.11431	0.75447	2.43E-07	2.62E-06	-0.49584	-4.8315	0.14033	0.8054	1.36E-06	1.21E-05	-0.4658	-4.2891	0.16289	0.80904	1.79E-05	0.00014431
PHF15	3	-0.27857	-2.2656	0.50151	0.94316	0.023477	0.060379	-0.082141	-0.68237	0.89161	0.99024	0.49501	0.63407	-0.31807	-2.657	0.37136	0.90905	0.0078841	0.02367	-0.2918	-2.2776	0.4252	0.9281	0.022748	0.060842
SNTG1	4	-0.14694	-1.4949	0.87196	0.99434	0.13495	0.24039	-0.30286	-3.0452	0.4349	0.92629	0.0023254	0.0090113	-0.14225	-1.4848	0.82808	0.98845	0.1376	0.23796	-0.039524	-0.39299	0.80873	0.98844	0.69433	0.79663
SLMAP	4	-0.3639	-3.5011	0.33101	0.90037	0.00046333	0.0021664	-0.42084	-4.0355	0.23213	0.8646	5.45E-05	0.00034208	-0.39492	-3.9127	0.2478	0.88466	9.13E-05	0.00051436	-0.55769	-4.9868	0.094001	0.72423	6.14E-07	7.17E-06
TIE1	6	0.24911	3.1363	0.097755	0.71076	0.0017108	0.006712	0.18041	2.2648	0.15894	0.81373	0.023524	0.061814	0.2432	3.1217	0.13674	0.80114	0.0017982	0.0068329	0.24511	3.0005	0.11854	0.76602	0.0026951	0.010461
PLRG1	5	-0.31667	-4.3561	0.41852	0.9352	1.32E-05	9.30E-05	-0.39793	-5.4578	0.26424	0.87663	4.82E-08	5.83E-07	-0.2247	-3.1489	0.58488	0.9607	0.0016387	0.0063179	-0.2397	-3.2439	0.55084	0.95182	0.001179	0.0052278
ALS2CR12	5	-0.15766	-2.1269	0.83742	0.99148	0.033432	0.079873	-0.14193	-1.9189	0.89552	0.99024	0.054996	0.12207	-0.1278	-1.7522	0.87521	0.98983	0.079745	0.15531	-0.084339	-1.1194	0.96565	0.99912	0.26296	0.40335
SMARCE1	2	-0.16684	-1.3909	0.8089	0.98655	0.16427	0.27996	-0.18161	-1.5151	0.7638	0.97925	0.12974	0.23701	-0.059702	-0.50866	0.89457	0.99104	0.61099	0.72229	0.077091	0.63845	0.43354	0.92998	0.52318	0.66043
ATP6V1C1	3	-0.52752	-4.3633	0.13872	0.77839	1.28E-05	9.03E-05	-0.62989	-5.1618	0.068741	0.66726	2.45E-07	2.63E-06	-0.4878	-4.1942	0.14683	0.81573	2.74E-05	0.00017876	-0.47297	-3.7608	0.15593	0.8029	0.00016937	0.0010052
HOMER3	3	-0.25394	-2.7643	0.55981	0.95153	0.0057041	0.018624	-0.26073	-2.8407	0.53602	0.94567	0.0045008	0.01579	-0.31613	-3.4777	0.37503	0.9111	0.00050571	0.0023048	-0.29925	-3.1901	0.40953	0.92206	0.0014224	0.0061192
DERA	3	-0.32745	-3.2775	0.39699	0.92957	0.0010473	0.0043959	-0.39119	-3.9052	0.27406	0.87913	9.41E-05	0.00055874	-0.10573	-1.0915	0.94784	0.99629	0.27505	0.4049	-0.33538	-3.2595	0.33949	0.89721	0.001116	0.0049821
KIAA0240	3	-0.61532	-5.8699	0.084299	0.6983	4.36E-09	5.83E-08	-0.52082	-5.0239	0.13116	0.78303	5.06E-07	5.11E-06	-0.47942	-4.7458	0.15398	0.81679	2.08E-06	1.79E-05	-0.54088	-5.0107	0.10344	0.74209	5.42E-07	6.40E-06
CD3E	2	-0.51257	-3.6662	0.15057	0.79185	0.00024623	0.0012461	-0.38825	-2.8189	0.27802	0.8795	0.0048187	0.01671	-0.31255	-2.3403	0.38213	0.91324	0.019268	0.049169	-0.35124	-2.4603	0.31167	0.88407	0.013883	0.040981
NBEAL2	3	-0.12547	-1.2987	0.94126	0.99678	0.19406	0.31708	-0.17559	-1.8152	0.78349	0.98146	0.069497	0.14688	-0.089359	-0.94073	0.99692	0.99963	0.34684	0.4811	-0.1093	-1.1079	0.95046	0.99877	0.26793	0.4087
OTUD3	6	-0.063588	-0.83074	0.84744	0.99176	0.40612	0.54728	-0.034474	-0.45224	0.72114	0.97158	0.65109	0.7656	0.077684	1.0451	0.45214	0.92983	0.29596	0.42762	0.077281	0.99276	0.43298	0.92998	0.32083	0.46738
EXT1	4	-0.41042	-4.5473	0.26073	0.87423	5.43E-06	4.16E-05	-0.27619	-3.099	0.49751	0.94126	0.0019419	0.0077353	-0.27656	-3.1642	0.4577	0.9313	0.001555	0.0060406	-0.35548	-3.832	0.30456	0.88048	0.00012713	0.00078706
PTS	2	0.42835	3.2045	0.017372	0.4329	0.001353	0.0054961	0.30164	2.2434	0.049061	0.60453	0.024873	0.064722	0.34587	2.6197	0.056582	0.68397	0.0087998	0.025919	0.44013	3.2207	0.020036	0.49322	0.0012786	0.0055934
LBH	6	0.01956	0.25026	0.56095	0.95239	0.80238	0.87061	-0.059211	-0.75471	0.80963	0.98402	0.45042	0.5929	-0.19588	-2.5258	0.66492	0.97388	0.011542	0.032382	-0.049174	-0.60722	0.84299	0.9909	0.5437	0.6782
HOOK3	3	-1.1192	-8.3016	0.0051668	0.28846	1.03E-16	3.55E-15	-0.49107	-4.0259	0.15538	0.80956	5.68E-05	0.00035504	-0.4986	-4.2208	0.13796	0.80348	2.43E-05	0.00016097	-0.68653	-5.1703	0.041885	0.60247	2.34E-07	2.98E-06
MEGF8	4	-0.3456	-3.7469	0.36317	0.91208	0.000179	0.00094573	-0.30322	-3.3065	0.43415	0.92629	0.00094453	0.0041558	-0.05409	-0.61147	0.87539	0.98983	0.54089	0.66305	-0.27962	-2.9505	0.45209	0.93519	0.0031728	0.012043
GRID1	4	0.26654	2.9177	0.083139	0.69535	0.0035266	0.01239	0.37914	4.1819	0.023434	0.48667	2.89E-05	0.00019514	0.32045	3.5744	0.070796	0.71282	0.00035109	0.0016774	0.33382	3.5884	0.053666	0.65353	0.00033271	0.0017982
NUDC	2	-0.61161	-4.6669	0.086124	0.70065	3.06E-06	2.46E-05	-0.53825	-4.146	0.11843	0.76077	3.38E-05	0.0002242	-0.56683	-4.4637	0.091693	0.74093	8.06E-06	6.04E-05	-0.65899	-4.8091	0.049819	0.64739	1.52E-06	1.62E-05
DDX43	3	-0.31076	-2.9012	0.43043	0.93698	0.0037179	0.012963	-0.22923	-2.1586	0.62005	0.95998	0.030883	0.076994	-0.24667	-2.368	0.52843	0.94714	0.017883	0.046272	-0.23449	-2.1351	0.56378	0.95307	0.032753	0.081411
TEFM	4	-0.54455	-5.5131	0.12581	0.76075	3.53E-08	4.06E-07	-0.68693	-6.8612	0.049119	0.60466	6.83E-12	1.47E-10	-0.21891	-2.3472	0.59978	0.96402	0.018915	0.048445	-0.16311	-1.6573	0.77386	0.984	0.097457	0.19108
MAGI3	5	-0.21009	-2.6942	0.67883	0.96974	0.007055	0.022207	-0.16083	-2.072	0.83154	0.98512	0.038265	0.091395	-0.20255	-2.6454	0.64554	0.97214	0.0081583	0.024363	-0.074023	-0.93602	0.92962	0.99689	0.34926	0.49733
FNDC8	3	-0.27201	-2.2697	0.51681	0.94349	0.023227	0.059887	-0.33237	-2.7636	0.37456	0.9095	0.0057162	0.019263	-0.42982	-3.6463	0.20452	0.85538	0.00026603	0.0013142	-0.3594	-2.8428	0.2979	0.87534	0.0044725	0.016007
GSX2	6	-0.22638	-2.8249	0.63355	0.96217	0.0047299	0.015853	-0.1929	-2.4198	0.7285	0.97247	0.01553	0.044123	-0.12128	-1.5639	0.8964	0.99104	0.11785	0.21104	-0.22112	-2.6659	0.60111	0.96095	0.0076785	0.025179
CLDN19	6	0.097853	1.5035	0.34496	0.90603	0.1327	0.2373	0.078324	1.2038	0.36197	0.90463	0.22867	0.36343	0.070503	1.0937	0.47213	0.93601	0.27407	0.4039	0.038031	0.57403	0.54798	0.95182	0.56594	0.69733
PMCH	3	-0.36617	-3.2938	0.32711	0.89918	0.00098828	0.0041835	-0.34061	-3.079	0.3588	0.90227	0.0020772	0.008201	-0.30716	-2.852	0.39251	0.91653	0.0043444	0.014436	-0.2809	-2.458	0.44922	0.93492	0.01397	0.041167
IFNGR2	4	0.2486	2.7561	0.098238	0.7116	0.0058498	0.019018	0.094285	1.0375	0.3219	0.89021	0.29948	0.44243	-0.0020129	-0.022409	0.69905	0.97646	0.98212	0.98865	0.21898	2.3686	0.14871	0.79847	0.017858	0.050302
SHROOM4	4	-0.12032	-1.2196	0.95775	0.99833	0.22262	0.35161	-0.042491	-0.4345	0.74925	0.97531	0.66392	0.7757	-0.15968	-1.6554	0.77312	0.98184	0.097845	0.18313	-0.16763	-1.6316	0.75954	0.984	0.10277	0.19899
GSDMB	3	0.15532	1.7845	0.22222	0.85181	0.074347	0.15064	0.10287	1.1812	0.30144	0.8862	0.23751	0.37404	0.12698	1.4673	0.32992	0.89802	0.14231	0.24421	0.15428	1.7564	0.25156	0.85914	0.07902	0.16261
SFTA2	4	-0.15361	-1.5633	0.85055	0.99176	0.11799	0.21655	-0.1015	-1.0399	0.96006	0.9969	0.2984	0.44123	-0.02465	-0.25938	0.7748	0.98192	0.79534	0.86307	-0.058148	-0.57765	0.87503	0.995	0.5635	0.69545
NANOS1	2	0.04793	0.373	0.47788	0.94068	0.70915	0.8041	0.072379	0.56515	0.37794	0.91082	0.57197	0.70043	0.10978	0.87304	0.36916	0.90742	0.38264	0.51721	0.13795	1.0533	0.28499	0.87056	0.29219	0.43565
CLTC	3	-0.45944	-3.7523	0.20154	0.83949	0.00017521	0.00092992	-0.46223	-3.7855	0.18374	0.84511	0.00015343	0.00085605	-0.60316	-5.023	0.073437	0.71825	5.09E-07	5.04E-06	-0.59751	-4.5776	0.073483	0.69739	4.70E-06	4.46E-05
PPP1R26	2	0.15145	1.2258	0.22982	0.85982	0.22028	0.3486	0.16976	1.3773	0.17491	0.83278	0.16842	0.28886	0.19292	1.5884	0.20478	0.85538	0.1122	0.20338	0.042114	0.33074	0.53494	0.95147	0.74084	0.83021
ARPC4	5	-0.81788	-10.46	0.027143	0.50244	1.32E-25	1.02E-23	-0.67949	-8.7914	0.051208	0.60802	1.48E-18	6.72E-17	-0.63918	-8.4392	0.058844	0.68499	3.19E-17	1.49E-15	-0.70287	-8.8236	0.037453	0.58987	1.11E-18	8.85E-17
PIP5K1A	3	-0.39541	-4.4719	0.28302	0.88075	7.75E-06	5.74E-05	-0.45385	-5.1268	0.19226	0.84524	2.95E-07	3.11E-06	-0.46425	-5.2945	0.16767	0.8269	1.19E-07	1.34E-06	-0.46681	-5.1818	0.16192	0.80894	2.20E-07	2.81E-06
PTCD2	3	-0.36239	-3.4283	0.33349	0.90037	0.00060728	0.0027376	-0.15093	-1.454	0.86469	0.98949	0.14595	0.25902	-0.26692	-2.6021	0.48012	0.93708	0.0092663	0.027041	-0.16924	-1.5791	0.7548	0.98399	0.11432	0.21609
CGNL1	4	-0.20505	-2.0677	0.69329	0.97137	0.038667	0.08983	-0.29487	-2.9555	0.45318	0.92831	0.0031213	0.011583	-0.31049	-3.1914	0.38612	0.9147	0.001416	0.0055841	-0.39577	-3.748	0.245	0.85626	0.00017823	0.001051
TEX13B	4	0.2068	2.2031	0.14331	0.78461	0.027591	0.068687	0.0013766	0.014504	0.59696	0.95666	0.98843	0.99322	0.25134	2.7288	0.12755	0.78343	0.0063567	0.019822	0.13992	1.449	0.28101	0.86968	0.14734	0.26186
MAPK14	3	-0.68603	-7.7303	0.056857	0.63269	1.07E-14	2.95E-13	-0.75007	-8.4387	0.03386	0.53521	3.21E-17	1.26E-15	-0.55116	-6.3111	0.10091	0.74934	2.77E-10	4.96E-09	-0.59746	-6.6513	0.073506	0.69739	2.90E-11	7.74E-10
GTDC2	3	0.18587	1.8008	0.17231	0.81185	0.071741	0.14657	0.18587	1.8035	0.15166	0.80584	0.071311	0.1497	0.22025	2.1718	0.16497	0.82196	0.029872	0.070554	0.097647	0.9184	0.37869	0.91312	0.35841	0.50675
AKT2	4	-0.051086	-0.52714	0.80323	0.98543	0.5981	0.71709	-0.041944	-0.43408	0.74736	0.97514	0.66423	0.77595	-0.047948	-0.50662	0.85386	0.98899	0.61242	0.72341	-0.036735	-0.36728	0.79854	0.98732	0.71341	0.81037
TRDN	4	0.048288	0.63329	0.47688	0.94068	0.52655	0.65654	0.058827	0.77227	0.4148	0.92001	0.43995	0.58304	0.025128	0.33189	0.6077	0.96491	0.73997	0.82225	0.071695	0.93076	0.4484	0.93492	0.35198	0.49977
OCIAD1	5	-0.023617	-0.33469	0.70776	0.97559	0.73786	0.8257	0.0032532	0.046192	0.58878	0.95541	0.96316	0.97922	0.048474	0.69547	0.53576	0.94714	0.48676	0.61499	0.057625	0.80774	0.48883	0.94281	0.41924	0.56685
C16orf58	4	-0.076508	-0.86336	0.89157	0.99461	0.38794	0.53007	-0.0062875	-0.071387	0.62385	0.96116	0.94309	0.96751	0.12577	1.4597	0.33289	0.90002	0.14437	0.24694	0.066277	0.73706	0.4636	0.93584	0.46109	0.60649
GUCA1B	4	0.035535	0.40805	0.51401	0.94349	0.68324	0.78432	0.014035	0.16122	0.55187	0.95158	0.87192	0.92256	0.1337	1.5672	0.31613	0.89574	0.11706	0.2099	0.1041	1.1737	0.36295	0.9062	0.24052	0.37871
ATP6V0D1	4	-1.0057	-9.2255	0.0096791	0.35768	2.82E-20	1.37E-18	-0.78788	-7.4782	0.027166	0.50971	7.53E-14	2.13E-12	-0.50034	-5.0573	0.1364	0.8002	4.25E-07	4.28E-06	-0.625	-5.7603	0.061565	0.66897	8.39E-09	1.44E-07
ERLIN2	2	0.030746	0.25879	0.52772	0.94466	0.7958	0.86594	0.034326	0.28937	0.48702	0.93832	0.7723	0.85473	0.069474	0.59404	0.47511	0.93703	0.55249	0.67323	-0.055604	-0.45573	0.86579	0.99452	0.64858	0.76382
FLI1	4	0.031975	0.38493	0.52411	0.94466	0.70029	0.79707	-0.093545	-1.121	0.93189	0.99413	0.26228	0.40242	0.087884	1.0739	0.42471	0.9243	0.28287	0.41337	-0.014452	-0.17046	0.72147	0.979	0.86465	0.9158
ZNF214	4	-0.098819	-1.1134	0.96839	0.99833	0.26556	0.40133	-0.15209	-1.7107	0.86072	0.98892	0.087145	0.17498	-0.15489	-1.7732	0.78788	0.98297	0.076193	0.14983	-0.147	-1.6066	0.82489	0.98961	0.10814	0.20699
TTC38	3	-0.62184	-5.1612	0.081245	0.69217	2.45E-07	2.42E-06	-0.54391	-4.5654	0.11468	0.75513	4.98E-06	4.06E-05	-0.57664	-4.9636	0.086274	0.74093	6.92E-07	6.65E-06	-0.47357	-3.8379	0.15537	0.8029	0.00012409	0.00077058
IGJ	2	-0.06449	-0.51572	0.85018	0.99176	0.60605	0.72284	-0.12129	-0.96808	0.96829	0.99747	0.33301	0.47947	-0.098114	-0.79786	0.97334	0.99839	0.42495	0.55674	0.02303	0.1807	0.59524	0.95966	0.8566	0.91034
IL20	5	-0.2364	-2.8521	0.60631	0.95986	0.004343	0.014744	-0.36161	-4.328	0.32083	0.88989	1.50E-05	0.0001083	-0.27804	-3.4233	0.45445	0.92987	0.00061865	0.0027372	-0.36052	-4.1614	0.29609	0.87504	3.16E-05	0.00023679
KRTAP10-4	2	0.11045	0.84718	0.31564	0.89533	0.39689	0.5387	0.16254	1.253	0.18597	0.84511	0.21021	0.34067	0.37721	2.983	0.042586	0.62971	0.002854	0.010102	0.56783	4.3851	0.0065446	0.37377	1.16E-05	9.92E-05
SMAGP	4	-0.23495	-2.4916	0.61015	0.96094	0.012719	0.036245	-0.33028	-3.4816	0.37851	0.911	0.00049835	0.0023907	-0.044073	-0.48456	0.8412	0.98899	0.62799	0.73603	-0.047368	-0.49498	0.83613	0.98975	0.62061	0.74164
SRSF5	4	-0.32766	-3.5228	0.39644	0.92957	0.000427	0.0020185	-0.38369	-4.1156	0.28477	0.8822	3.86E-05	0.00025151	-0.21641	-2.3987	0.60657	0.96456	0.016454	0.043242	-0.28889	-3.02	0.43085	0.92953	0.0025274	0.0099327
N6AMT2	4	0.051605	0.58944	0.46686	0.9387	0.55557	0.68208	0.085498	0.97987	0.34373	0.89926	0.32715	0.47284	0.061863	0.71848	0.49686	0.94018	0.47246	0.60164	-0.094848	-1.0469	0.99915	0.99991	0.29513	0.43906
ZNF395	4	0.27327	2.959	0.077903	0.67854	0.003086	0.011067	0.21723	2.3482	0.11282	0.75308	0.018863	0.051671	0.21013	2.3072	0.17889	0.8336	0.021042	0.05289	0.23187	2.4439	0.1333	0.78455	0.014529	0.042521
NR1D1	3	0.045159	0.4084	0.48579	0.94085	0.68298	0.78408	0.1328	1.2109	0.2382	0.86823	0.22591	0.36027	-0.014423	-0.13281	0.73951	0.97851	0.89434	0.93095	-0.087096	-0.75377	0.97459	0.99913	0.45099	0.59747
MPEG1	2	0.13484	0.90282	0.26251	0.87469	0.36662	0.50817	0.060507	0.40353	0.41007	0.91749	0.68656	0.79273	-0.047965	-0.32481	0.8539	0.98899	0.74532	0.82625	0.14821	0.96176	0.26377	0.86089	0.33617	0.48323
MYRIP	4	0.050914	0.56989	0.46871	0.9387	0.56875	0.69324	-0.134	-1.4848	0.92276	0.99287	0.1376	0.24779	0.014879	0.16919	0.64066	0.97208	0.86564	0.91137	0.16096	1.7733	0.23943	0.85286	0.076174	0.15813
PION	3	-0.5713	-4.8397	0.10865	0.73328	1.30E-06	1.13E-05	-0.68632	-5.7507	0.049291	0.60499	8.88E-09	1.22E-07	-0.47947	-4.242	0.15396	0.81679	2.21E-05	0.00014873	-0.59818	-4.8107	0.073207	0.69739	1.50E-06	1.60E-05
ABCC8	3	-0.034328	-0.33697	0.7455	0.98101	0.73614	0.8243	-0.07687	-0.75382	0.87305	0.98949	0.45096	0.59347	0.10168	1.0225	0.3887	0.91584	0.30655	0.43873	-0.081364	-0.77527	0.95541	0.99877	0.43818	0.58493
IL27	3	0.3388	2.8221	0.041036	0.57002	0.0047709	0.015966	0.1545	1.2713	0.19885	0.85111	0.20361	0.33324	0.090285	0.75624	0.41807	0.92346	0.4495	0.57952	0.032069	0.25085	0.56651	0.95428	0.80193	0.87291
OR2B11	3	0.1152	1.1448	0.30461	0.88949	0.25231	0.38579	0.023335	0.23103	0.52097	0.94422	0.8173	0.88619	0.027276	0.27426	0.60086	0.96402	0.78388	0.85522	-0.074196	-0.71017	0.93025	0.99689	0.4776	0.62144
CDS2	2	-0.78287	-6.0787	0.033067	0.53965	1.21E-09	1.75E-08	-0.50629	-4.0434	0.14288	0.79599	5.27E-05	0.00033244	-0.76312	-6.1157	0.027453	0.53687	9.61E-10	1.60E-08	-0.94581	-6.8828	0.0083587	0.39459	5.87E-12	1.74E-10
SMCR8	4	-0.31059	-3.1345	0.43082	0.93698	0.0017215	0.0067494	-0.081998	-0.84571	0.89113	0.99024	0.39771	0.54365	-0.1152	-1.2105	0.91725	0.99357	0.22608	0.34904	-0.18978	-1.8715	0.69196	0.97541	0.061271	0.1338
RAI14	6	0.17095	2.6477	0.19522	0.83529	0.0081045	0.024938	0.098304	1.5202	0.31233	0.88684	0.12846	0.23526	0.039398	0.61378	0.56302	0.95893	0.53936	0.66178	-0.006777	-0.10272	0.69571	0.97557	0.91819	0.94931
DEFB131	2	-0.010067	-0.078294	0.66173	0.9684	0.93759	0.96223	-0.0186	-0.14483	0.66582	0.96634	0.88484	0.93052	0.17042	1.3626	0.24296	0.88061	0.17302	0.28406	0.18575	1.4293	0.1965	0.83396	0.15291	0.26942
WDR61	2	-0.20704	-1.5071	0.68756	0.96974	0.1318	0.23595	-0.1557	-1.1405	0.84861	0.98892	0.25408	0.39344	-0.076458	-0.57482	0.9531	0.99696	0.56541	0.68336	-0.13686	-0.97154	0.85735	0.99334	0.33128	0.4782
DECR2	4	0.12889	1.3697	0.27485	0.879	0.17077	0.28813	-0.15231	-1.589	0.86019	0.98892	0.11206	0.21231	0.088678	0.95839	0.42256	0.924	0.33786	0.4719	0.077941	0.80319	0.4313	0.92998	0.42187	0.56947
RSL1D1	3	-1.5481	-11.161	0.00043631	0.12187	6.32E-29	7.06E-27	-1.4837	-10.916	0.0003789	0.11786	9.65E-28	1.21E-25	-1.1923	-9.7647	0.0019749	0.25333	1.60E-22	1.35E-20	-1.6784	-10.698	4.59E-05	0.0625	1.04E-26	2.21E-24
ACSBG1	3	0.14596	1.471	0.24001	0.86405	0.14128	0.24889	0.1473	1.4866	0.21136	0.85516	0.13712	0.24712	0.072238	0.73658	0.46747	0.93423	0.46138	0.59072	0.21402	2.1229	0.15518	0.8029	0.03376	0.083437
PFN3	2	0.13121	1.1001	0.26987	0.87669	0.27127	0.40756	0.11695	0.98113	0.27052	0.87783	0.32653	0.47221	0.024636	0.20854	0.60928	0.96507	0.8348	0.89058	-0.0534	-0.43369	0.85812	0.99334	0.66452	0.77531
ZNF16	4	-0.18685	-1.8797	0.74756	0.98146	0.06015	0.12774	-0.27006	-2.7022	0.5123	0.94183	0.0068879	0.022523	-0.19977	-2.0624	0.65361	0.97214	0.039173	0.087999	-0.23192	-2.2345	0.57092	0.95506	0.025451	0.066685
GFI1B	2	-0.022238	-0.19086	0.70317	0.97468	0.84864	0.90285	0.061658	0.53184	0.40696	0.91598	0.59483	0.71887	-0.13703	-1.1869	0.84493	0.98899	0.23527	0.35958	-0.029266	-0.24628	0.77308	0.984	0.80547	0.87592
C22orf39	4	0.19326	2.1543	0.16155	0.80186	0.031216	0.075595	0.12825	1.4264	0.24717	0.87219	0.15374	0.26942	0.11463	1.2942	0.35777	0.9057	0.19558	0.3125	0.14128	1.5323	0.27822	0.86849	0.12546	0.23175
SELP	6	-0.17761	-2.4309	0.77545	0.98319	0.015062	0.041785	-0.23811	-3.2511	0.59545	0.95666	0.0011496	0.0049079	-0.086144	-1.2094	0.98664	0.99918	0.22653	0.34946	-0.146	-1.9474	0.82804	0.98961	0.051493	0.11668
HLA-DQB1	2	0.383	2.8427	0.026488	0.50043	0.0044739	0.015124	0.38508	2.8628	0.022194	0.47787	0.0041995	0.014898	0.13521	1.008	0.31277	0.89574	0.31347	0.44607	0.2908	2.097	0.078891	0.70632	0.035997	0.087806
